,strategy,gov_policy,quarantine_length,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
107,S3,test_based_TTI,12,1.4427339146593186,4.079289940828402,149.112,22.596,88.872,2232.0240000000003,82.72800000000001,26.124000000000002,22.440352554952383,4.905003655756643
108,S3,test_based_TTI,14,1.3323862002688007,3.8773474178403755,144.60000000000002,19.344,89.48400000000001,2480.7599999999998,79.28399999999999,25.14,22.07006320618981,4.8293037707137465
109,S3,test_based_TTI,14,1.3661359099482324,3.8994614003590664,156.9,20.7,89.568,2616.744,78.192,24.744,21.446727233606158,4.607515500111877
110,S3,test_based_TTI_test_contacts,6,1.3722487500631129,3.98721071863581,154.332,20.46,210.744,871.608,78.564,24.924,21.71157823834477,4.889632390411652
111,S3,test_based_TTI_test_contacts,6,1.4105299347653486,3.968014484007242,156.264,22.86,213.072,878.3040000000001,78.89999999999999,21.504,24.02359212757015,5.325430649555663
112,S3,test_based_TTI_test_contacts,8,1.3247721723638328,3.8125,150.072,25.56,207.288,915.8399999999999,76.86,22.836,22.521487258376617,4.795105746768549
113,S3,test_based_TTI_test_contacts,8,1.4119463456653438,3.9021424435437173,158.55599999999998,21.264,213.792,928.0559999999999,80.86800000000001,25.248,21.45691874272501,4.901905189706387
114,S3,test_based_TTI_test_contacts,10,1.444167075752783,3.951497005988024,166.956,21.816,222.012,1004.568,79.188,22.68,22.250437938679546,5.316453863234677
115,S3,test_based_TTI_test_contacts,10,1.4009034839651038,3.9963702359346644,149.796,23.436,210.012,966.024,79.27199999999999,22.86,23.85070778854324,4.772970703524951
116,S3,test_based_TTI_test_contacts,12,1.4290504630426883,3.8749255509231686,139.224,21.372,198.768,1003.416,78.07199999999999,22.811999999999998,22.15917010386193,4.308321166754006
117,S3,test_based_TTI_test_contacts,12,1.2575517124795976,3.8466707391569943,133.20000000000002,18.504,193.764,961.2239999999999,75.56400000000001,26.556,20.13251936179764,4.1721347982531665
118,S3,test_based_TTI_test_contacts,14,1.382393012821312,3.903621853898097,154.668,19.764000000000003,210.924,1070.928,76.308,23.16,21.11260058976798,5.012380795601028
119,S3,test_based_TTI_test_contacts,14,1.326366870525515,3.8334331935290593,152.196,17.688,208.128,1062.1200000000001,76.77600000000001,22.86,22.78748616254492,4.564038154570074
120,S4,no_TTI,6,1.140902066974134,3.8807121661721067,0.0,0.0,0.0,622.0079999999999,78.468,39.083999999999996,16.314960205783002,-1.0391687510491465e-16
