,strategy,gov_policy,home_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
123,S2,test_based_TTI,0.2,1.733219680673584,3.8327359617682197,190.68,31.872,89.184,3050.832,76.99199999999999,11.208,24.87143255913592,6.095650495493069
124,S2,test_based_TTI,0.3,1.7327959853474058,4.0178147268408555,178.22400000000002,27.012,89.652,2897.88,81.192,11.448,28.877236981324337,5.850421746775285
125,S2,test_based_TTI,0.3,1.6614540840608407,3.916875,173.052,25.944,89.556,2814.192,75.20400000000001,9.948,27.93303480174222,5.423046784289601
126,S2,test_based_TTI,0.4,1.8668500233701038,4.141641337386019,178.692,28.74,89.532,2867.448,81.756,10.236,28.519390665622456,6.148989873051647
127,S2,test_based_TTI,0.4,1.8395626522810347,4.047787610619469,175.03199999999998,29.555999999999997,89.076,2832.9120000000003,82.33200000000001,10.428,28.456342181861626,6.030953470742091
128,S2,test_based_TTI,0.5,1.974904015028961,4.217162872154115,183.024,29.736,89.172,2910.024,86.688,9.36,30.9705087483203,5.76136431874433
129,S2,test_based_TTI,0.5,1.8423341282122894,4.245882352941177,174.516,27.887999999999998,89.664,2822.664,86.616,11.315999999999999,32.04034997456395,5.676033809905297
130,S2,test_based_TTI,0.6,2.0131584249250043,4.721351025331725,171.288,26.304000000000002,89.652,2754.192,93.936,12.732,35.11502179211919,6.035178185572843
131,S2,test_based_TTI,0.6,1.8718746937251578,4.298787878787879,167.51999999999998,28.464,90.348,2738.952,85.116,8.616,33.94277613437093,5.494104929870933
132,S2,test_based_TTI,0.7,2.1073864389751646,4.479976784677888,180.62400000000002,31.464,88.36800000000001,2850.216,92.628,9.24,34.28460266641648,5.5310753213329305
133,S2,test_based_TTI,0.7,2.307260363078749,4.723562152133581,189.492,33.912,89.78399999999999,2944.392,91.656,9.444,31.788019727204553,5.653900187615371
134,S2,test_based_TTI,0.8,2.261141015215551,4.741916519694297,189.756,30.768,89.172,2957.064,96.792,10.452,34.241967460994,5.943622136426097
135,S2,test_based_TTI,0.8,2.1563047084080624,4.578507462686567,176.412,26.316,89.10000000000001,2790.024,92.028,10.14,33.315363706455244,5.230911654542618
136,S2,test_based_TTI,0.9,2.2245267732365708,4.965617715617715,175.14000000000001,27.204,89.16,2754.528,102.252,10.847999999999999,39.671784461201604,5.92476022431088
137,S2,test_based_TTI,0.9,2.2077337929671104,4.99383096853794,174.228,28.128,90.012,2773.536,97.14,9.863999999999999,38.660460435929885,5.670701823273814
138,S2,test_based_TTI,1.0,2.310095381057525,5.032846715328467,169.69199999999998,28.343999999999998,89.028,2684.7360000000003,99.288,8.688,39.55213198957803,5.474306332919071
139,S2,test_based_TTI,1.0,2.3676611062044977,5.311672683513839,179.628,23.688,89.94000000000001,2804.448,105.936,11.208,42.203578629831206,5.303788268026272
140,S2,test_based_TTI_test_contacts,0.1,1.4356644321311385,3.5107913669064748,177.49200000000002,23.880000000000003,230.46,1157.64,70.272,11.136,24.743952669506882,5.655788056956242
141,S2,test_based_TTI_test_contacts,0.1,1.4553797353963047,3.542056074766355,211.38,37.428000000000004,257.82,1227.816,72.768,9.96,26.188590882141554,6.7200878338767716
142,S2,test_based_TTI_test_contacts,0.2,1.5517023203144105,3.592526690391459,198.456,31.68,248.484,1156.464,72.684,8.436,26.825439422355075,6.028519233043741
143,S2,test_based_TTI_test_contacts,0.2,1.69632066106304,3.6653340948029696,171.408,21.875999999999998,225.6,1127.712,77.016,10.656,25.383418026463765,5.333492243279617
144,S2,test_based_TTI_test_contacts,0.3,1.7495769492969997,3.931238885595732,194.004,28.752000000000002,244.22400000000002,1128.6,79.584,9.516,28.313756904021652,6.335807334409826
145,S2,test_based_TTI_test_contacts,0.3,1.7995384260950817,3.730958230958231,174.624,26.388,227.556,1081.7040000000002,72.888,8.256,24.288442542978903,5.187774764827568
146,S2,test_based_TTI_test_contacts,0.4,1.7620993074523958,3.9772866789441377,161.64,21.264,216.684,1074.672,77.748,10.283999999999999,27.47296381716733,5.545518920753183
147,S2,test_based_TTI_test_contacts,0.4,1.812504245369005,4.146252285191956,180.816,29.82,233.868,1124.76,81.648,10.668000000000001,29.24862873117428,6.0395376690192135
148,S2,test_based_TTI_test_contacts,0.5,1.8932556500364752,4.1250789639924195,157.10399999999998,23.868,215.148,1031.136,78.36,8.316,29.2661823897239,4.813533282183164
149,S2,test_based_TTI_test_contacts,0.5,1.9506821601269655,4.338359469240048,174.648,23.964,228.144,1095.24,86.316,10.392,31.775222692020513,5.338005050093368
150,S2,test_based_TTI_test_contacts,0.6,2.0965104217812383,4.5793103448275865,162.252,26.832,219.96,1024.2479999999998,87.64800000000001,10.668000000000001,32.12489053170284,4.727899995404224
151,S2,test_based_TTI_test_contacts,0.6,1.926708498414498,4.426616915422885,169.74,27.012,225.852,1043.3519999999999,85.416,10.452,32.816861639189916,4.969371175403897
152,S2,test_based_TTI_test_contacts,0.7,2.1468850180621564,4.620450606585789,178.68,28.236,233.244,1056.768,95.976,11.532,34.08122185909614,5.767682545716704
153,S2,test_based_TTI_test_contacts,0.7,2.0391136104965164,4.523325358851674,170.808,28.248,225.672,1032.24,90.756,9.012,35.67450683693983,5.1567176820580345
154,S2,test_based_TTI_test_contacts,0.8,2.124638193394327,4.866293532338308,154.344,21.408,213.276,1010.3760000000001,93.89999999999999,9.18,38.63705390908394,5.085927511179066
155,S2,test_based_TTI_test_contacts,0.8,2.2065138679083485,5.1165165165165165,180.036,21.132,231.43200000000002,1053.84,102.228,11.700000000000001,40.966171583923675,5.475681335267455
156,S2,test_based_TTI_test_contacts,0.9,2.549546591478588,5.158682634730539,181.116,25.74,233.232,1022.856,103.38000000000001,10.236,36.00394074331176,6.047145563457261
157,S2,test_based_TTI_test_contacts,0.9,2.36244763732302,5.108747044917258,183.23999999999998,25.656,234.612,1036.32,103.728,10.668000000000001,38.96604693853004,6.126816233263249
158,S2,test_based_TTI_test_contacts,1.0,2.442579637041344,5.306633291614518,179.244,28.908,233.33999999999997,1012.128,101.75999999999999,11.34,38.08190730132141,5.499185578773753
159,S2,test_based_TTI_test_contacts,1.0,2.525809604576973,5.5682102628285355,169.728,24.804,224.748,1015.248,106.77600000000001,9.996,43.107488607496,5.237586415135911
160,S3,no_TTI,0.1,1.4280504704908281,3.4758162031438937,0.0,0.0,0.0,857.4960000000001,68.988,22.176,18.468054261698036,-1.3322676295501878e-17
161,S3,no_TTI,0.1,1.3620670951959435,3.393258426966292,0.0,0.0,0.0,835.704,65.232,22.248,16.799622161953184,1.0658141036401503e-17
162,S3,no_TTI,0.2,1.4699224833811115,3.653731343283582,0.0,0.0,0.0,836.424,73.44,25.944,17.95055808403964,1.5987211554602253e-17
163,S3,no_TTI,0.2,1.4340164012583312,3.5769462884731444,0.0,0.0,0.0,814.392,71.124,22.284,20.32601787737933,6.661338147750939e-18
164,S3,no_TTI,0.3,1.7315476402085337,4.217153284671533,0.0,0.0,0.0,828.192,83.196,26.796,22.240028153966048,-2.6645352591003758e-18
165,S3,no_TTI,0.3,1.5558163048203753,4.002385211687537,0.0,0.0,0.0,829.6560000000001,80.544,26.651999999999997,22.582752681794766,-6.661338147750939e-17
