,strategy,gov_policy,most_infectious_day,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
136,S5,symptom_based_TTI,1,1.041371158392435,3.8120567375886525,476.136,69.46799999999999,89.028,2163.576,77.4,50.016,3.66,2.5799999999999996
137,S5,symptom_based_TTI,1,1.0528301886792453,3.9157232704402514,532.836,74.11200000000001,89.592,2224.776,74.712,47.028000000000006,3.576,4.0200000000000005
138,S5,symptom_based_TTI,2,0.7809123649459784,4.019807923169267,481.428,70.788,90.19200000000001,2134.752,80.36399999999999,54.072,7.5,3.1799999999999997
139,S5,symptom_based_TTI,2,0.7408536585365854,3.6390243902439026,527.916,76.584,89.868,2179.7999999999997,71.616,46.355999999999995,7.188000000000001,3.492
140,S5,symptom_based_TTI,3,0.691747572815534,4.007888349514563,526.908,78.852,89.712,2235.672,79.25999999999999,52.476,10.404,2.6999999999999997
141,S5,symptom_based_TTI,3,0.6477683956574186,3.7810615199034983,487.21200000000005,70.164,90.22800000000001,2218.848,75.22800000000001,49.08,9.9,3.36
142,S5,symptom_based_TTI,4,0.6356399265156154,4.067973055725658,484.82399999999996,69.19200000000001,90.108,2206.8,79.716,49.956,15.636,1.668
143,S5,symptom_based_TTI,4,0.5950363196125908,3.902542372881356,507.84000000000003,72.24,88.944,2264.064,77.364,48.864000000000004,14.219999999999999,2.484
144,S5,test_based_TTI,1,1.2792207792207793,4.053719008264463,59.111999999999995,9.564,89.448,1542.192,82.404,52.751999999999995,3.456,0.192
145,S5,test_based_TTI,1,1.1494997057092406,3.821659799882284,53.7,8.459999999999999,89.016,1487.472,77.916,50.099999999999994,4.188,0.192
146,S5,test_based_TTI,2,0.8277744087325651,3.8356579745300183,49.464,6.444,89.352,1399.632,75.89999999999999,50.05200000000001,7.4399999999999995,2.0279999999999996
147,S5,test_based_TTI,2,0.8702474351237176,3.9987929993964997,55.14,11.016,89.52,1489.656,79.512,51.636,8.136,2.436
148,S5,test_based_TTI,3,0.7827116637063352,3.827116637063351,58.536,11.232000000000001,89.292,1512.144,77.568,48.384,11.064,2.2560000000000002
149,S5,test_based_TTI,3,0.7676646706586826,3.989820359281437,63.647999999999996,10.104,89.364,1564.704,79.956,51.36,11.004000000000001,2.208
150,S5,test_based_TTI,4,0.59,3.857647058823529,47.568,7.199999999999999,89.952,1342.488,78.69600000000001,53.424,12.251999999999999,0.9840000000000001
151,S5,test_based_TTI,4,0.6118266978922716,3.761709601873536,47.484,7.332,88.824,1335.216,77.1,52.26,11.208,1.092
152,S5,test_based_TTI_test_contacts,1,1.253579952267303,3.9588305489260143,67.28399999999999,9.228,140.16,995.952,79.62,50.088,3.8519999999999994,0.46799999999999997
153,S5,test_based_TTI_test_contacts,1,1.1699147381242387,3.9884287454323997,65.316,13.836,139.764,981.5999999999999,78.58800000000001,51.624,3.804,0.108
154,S5,test_based_TTI_test_contacts,2,0.8908429351121893,3.70406306852638,48.084,7.176,125.856,903.84,73.296,48.528,5.868,1.272
155,S5,test_based_TTI_test_contacts,2,0.9199014171287738,3.938385705483672,53.136,8.964,129.768,919.392,76.704,50.05200000000001,6.744,1.992
156,S5,test_based_TTI_test_contacts,3,0.7245195107746069,3.8800232964472916,55.872,6.984,134.136,934.368,79.944,50.736000000000004,11.82,2.46
157,S5,test_based_TTI_test_contacts,3,0.7505910165484634,4.024822695035461,65.112,10.091999999999999,140.988,956.904,81.72,52.08,12.180000000000001,2.2199999999999998
158,S5,test_based_TTI_test_contacts,4,0.628709872804361,3.8316172016959418,53.196000000000005,10.692,131.904,898.6080000000001,75.912,48.827999999999996,13.308,1.3199999999999998
159,S5,test_based_TTI_test_contacts,4,0.676039119804401,3.9083129584352077,60.516,8.484,138.144,901.5840000000001,76.728,47.628,14.604000000000001,1.2240000000000002
