,strategy,gov_policy,gts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
123,S4,no_TTI,0.25,1.2306239955421852,3.883933845245127,0.0,0.0,0.0,832.0200000000001,78.90599999999999,35.16,18.744642906564973,-2.6645352591003756e-17
124,S4,no_TTI,0.5,1.2050962485018704,3.817214111922141,0.0,0.0,0.0,825.4440000000001,75.30600000000001,33.732,17.799861209555097,-7.993605777301126e-18
125,S4,no_TTI,0.5,1.2357563064864905,3.7251409913921045,0.0,0.0,0.0,816.636,75.3,32.166000000000004,18.154422020682073,-5.3290705182007515e-18
126,S4,no_TTI,0.75,1.3428442394483535,3.9706055261610818,0.0,0.0,0.0,817.8480000000001,81.048,33.516,20.12186338438022,0.0
127,S4,no_TTI,0.75,1.3515981458844892,3.989539748953975,0.0,0.0,0.0,846.168,80.094,32.562,20.39731562322299,2.6645352591003756e-17
128,S4,no_TTI,1.0,1.432972029079303,3.8339722795635507,0.0,0.0,0.0,811.6800000000001,78.006,27.887999999999998,20.962751096352505,2.6645352591003756e-17
129,S4,no_TTI,1.0,1.4209207219380462,3.8525943396226414,0.0,0.0,0.0,820.0799999999999,78.408,28.56,20.929421467116896,-3.996802888650563e-18
130,S4,symptom_based_TTI,0.0,0.906904255199987,3.7778782399035564,933.456,133.392,89.742,3186.132,75.21000000000001,38.1,15.823059345319031,3.232290742159616
131,S4,symptom_based_TTI,0.0,0.8990899989662522,3.806654676258993,941.142,126.10799999999999,89.41199999999999,3330.348,76.194,37.385999999999996,16.842103824061454,3.9697107566300063
132,S4,symptom_based_TTI,0.25,0.9531653322586591,3.7567648827420324,1019.076,146.25,89.238,3463.128,74.97,35.064,16.948574777904945,3.936057851541222
133,S4,symptom_based_TTI,0.25,0.9837531895645673,3.8312210200927357,995.58,135.888,89.47200000000001,3488.376,74.364,34.344,16.750784048296882,4.174566542254843
134,S4,symptom_based_TTI,0.5,1.0224712736578578,4.019619680048295,1098.438,148.64399999999998,90.03,3755.616,79.902,34.698,20.087284686618194,4.792031335610897
135,S4,symptom_based_TTI,0.5,1.1306846856626782,3.971542227662179,1079.8319999999999,145.338,89.568,3780.168,77.87400000000001,31.974000000000004,18.77313485712652,4.9563998263996565
136,S4,symptom_based_TTI,0.75,1.0924641015521679,3.8403361344537816,1138.368,154.122,88.67999999999999,3759.66,76.77600000000001,32.406,17.957247864466947,4.57220981730208
137,S4,symptom_based_TTI,0.75,1.0838808375300135,3.898300117233294,1146.894,158.45399999999998,89.19,3769.956,79.806,35.04,18.318781582908578,4.258009911176953
138,S4,symptom_based_TTI,1.0,1.1183028561156187,3.8503937007874014,1203.6,165.42000000000002,89.868,3954.972,76.284,30.023999999999997,19.208295912755737,4.8958879018816015
139,S4,symptom_based_TTI,1.0,1.170252474677869,3.9240084771419923,1224.258,158.106,89.286,4141.788,77.766,29.646,19.602331233269524,5.325605223564422
140,S4,test_based_TTI,0.0,0.9611904914463313,3.9252561784207356,93.276,13.422,89.03999999999999,1880.136,78.144,39.041999999999994,16.94670961401319,3.019910082273211
141,S4,test_based_TTI,0.0,1.0896846705815677,3.8722704157941967,104.592,13.38,89.21400000000001,2004.144,77.67,35.904,16.61292324959097,3.2961816278838785
142,S4,test_based_TTI,0.25,1.0598765761134494,3.810802833530106,111.132,15.324000000000002,89.244,2078.868,77.466,35.058,17.308247994704573,3.554580966061164
143,S4,test_based_TTI,0.25,1.0253356132347933,3.9108792846497766,108.864,14.597999999999999,89.274,2047.476,78.726,37.385999999999996,17.22525337154704,3.474740734036503
144,S4,test_based_TTI,0.5,1.0941189684639279,3.7993565369991225,109.70400000000001,16.494,89.598,2083.452,77.94,33.318,18.6247851997931,3.5524582811378163
145,S4,test_based_TTI,0.5,1.133857043022388,3.8723277909738716,124.062,17.862000000000002,89.42399999999999,2241.168,78.252,34.098,17.610935663048657,3.6300812115548666
146,S4,test_based_TTI,0.75,1.1771363343574766,3.885037037037037,135.648,18.215999999999998,89.286,2358.12,78.672,31.764,19.02806813335383,4.0429210959072
147,S4,test_based_TTI,0.75,1.1697047747714282,3.889153046062407,113.496,15.714000000000002,89.352,2101.38,78.52199999999999,33.696,17.7059165956129,3.5037440017518966
148,S4,test_based_TTI,1.0,1.1749621628359888,3.8567931456548346,121.36800000000001,16.656000000000002,90.30600000000001,2202.396,75.624,29.82,19.008387107175036,3.7569548039368073
149,S4,test_based_TTI,1.0,1.2259581289642651,3.908063076465338,130.76399999999998,19.374000000000002,89.262,2283.096,78.80999999999999,30.372,19.573687186538052,4.141641184768496
150,S4,test_based_TTI_test_contacts,0.0,0.9915937298157942,3.8118811881188117,104.676,13.475999999999999,171.39000000000001,984.612,76.23,36.431999999999995,16.741981343401246,3.226127247742448
151,S4,test_based_TTI_test_contacts,0.0,0.9716374684141702,3.8981120767156128,105.88199999999999,15.251999999999999,172.77,991.68,78.048,37.314,17.982833960911755,3.2970406464996866
152,S4,test_based_TTI_test_contacts,0.25,1.054782542867328,3.91001799640072,110.74199999999999,14.394,176.022,1019.7720000000002,78.21600000000001,34.65,19.278176802089376,3.1879532103925725
153,S4,test_based_TTI_test_contacts,0.25,1.0446272777460548,3.939376103590347,107.82,14.982000000000001,174.27599999999998,1018.1280000000002,80.316,37.224,18.32028705916154,3.4738520021518386
154,S4,test_based_TTI_test_contacts,0.5,1.0460249813758857,3.949102677258017,116.19600000000001,14.496,182.004,1014.156,80.538,35.424,20.068434730224002,3.712931799596131
155,S4,test_based_TTI_test_contacts,0.5,1.114183977362163,3.8896713615023475,113.89800000000001,14.76,178.866,997.032,79.53599999999999,34.446000000000005,18.51687491230502,3.790291118593391
156,S4,test_based_TTI_test_contacts,0.75,1.090782843407107,4.05322966507177,116.08200000000001,15.402,180.42000000000002,1019.9159999999999,81.324,35.508,20.238070878902096,3.692462150977608
157,S4,test_based_TTI_test_contacts,0.75,1.1128197392236916,3.7621015348288074,125.682,14.862,188.076,1028.616,76.476,30.894000000000002,19.206804118357937,3.75379622270282
158,S4,test_based_TTI_test_contacts,1.0,1.1724243475421345,3.9296452194828624,126.426,18.312,189.138,1036.164,78.42,30.918,20.124491852144974,3.9806078683040953
159,S4,test_based_TTI_test_contacts,1.0,1.2081667391380946,3.9538507641594247,135.23399999999998,19.146,196.2,1046.076,79.16399999999999,30.311999999999998,20.454909301853714,4.207176247123261
160,S5,no_TTI,0.0,0.8160035819777817,3.9566356228172292,0.0,0.0,0.0,826.8240000000001,81.57,52.08,12.667270153946044,1.0658141036401503e-17
161,S5,no_TTI,0.0,0.7344479227232791,3.758743331357439,0.0,0.0,0.0,819.336,76.092,49.59,11.63383625238993,2.1316282072803006e-17
