,strategy,gov_policy,other_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
104,S3,test_based_TTI,0.3,4.1057871951464,10.377278250303767,129.84,19.824,90.276,2318.0879999999997,204.97199999999998,46.416,62.74779079993897,14.710700521529379
105,S3,test_based_TTI,0.3,4.091958363027071,10.233118027011157,139.56,16.596,89.304,2420.496,209.124,47.52,61.18848412092683,16.792254772251887
106,S3,test_based_TTI,0.4,5.187062851785147,13.207058823529412,154.728,22.104,89.304,2614.512,269.42400000000004,58.524,82.00249022297716,23.081427600605856
107,S3,test_based_TTI,0.4,5.023361501731556,12.86536248561565,165.216,26.916,89.628,2739.9840000000004,268.32000000000005,55.824,85.076131156581,22.65264136330565
108,S3,test_based_TTI,0.5,6.32425981839886,15.83095238095238,141.35999999999999,20.34,89.88,2442.072,319.15200000000004,68.496,95.17326603182632,27.985656029252645
109,S3,test_based_TTI,0.5,6.124194200085866,15.380071599045346,143.424,19.560000000000002,89.03999999999999,2460.1200000000003,309.324,72.14399999999999,87.42201629033646,26.58818995753664
110,S3,test_based_TTI_test_contacts,0.1,1.9195715537786147,5.5665261890427455,142.98,21.204,201.744,1064.376,110.952,34.476,30.987805405113914,7.227294384970741
111,S3,test_based_TTI_test_contacts,0.1,2.011954574190467,5.603341584158416,139.584,20.532,198.408,1059.9119999999998,108.66,30.6,31.43850592975516,7.605670967543241
112,S3,test_based_TTI_test_contacts,0.2,3.165492224931053,7.963335304553518,129.672,16.247999999999998,185.22,1003.1759999999999,161.592,39.228,46.99045007096996,11.139381700729157
113,S3,test_based_TTI_test_contacts,0.2,3.1776944118356263,8.347881087919038,149.59199999999998,20.616,200.88,1045.776,158.376,39.995999999999995,46.10055843253451,11.992223186119897
114,S3,test_based_TTI_test_contacts,0.3,4.056040161256478,10.301596688350088,151.704,21.348,199.152,1072.344,209.04,45.012,64.09721318055215,17.625619867231354
115,S3,test_based_TTI_test_contacts,0.3,4.188898692797839,10.935388263189093,160.524,23.832,206.112,1098.744,221.376,51.696000000000005,66.84246215409152,18.037472708908968
116,S3,test_based_TTI_test_contacts,0.4,5.588579327284731,14.668062200956937,159.204,25.068,197.79600000000002,1098.24,294.3,72.576,84.60771632552634,24.987028051833
117,S3,test_based_TTI_test_contacts,0.4,5.493984263702029,13.43524541691307,142.296,25.464,186.756,1038.5520000000001,272.628,61.52400000000001,78.04654046713553,21.573530853822955
118,S3,test_based_TTI_test_contacts,0.5,6.085232560294572,15.790740740740741,150.864,19.224,191.952,1083.816,306.972,67.69200000000001,95.4363908758369,25.54668815203663
119,S3,test_based_TTI_test_contacts,0.5,6.6197988774467,15.473684210526315,135.82799999999997,19.296,177.288,1021.5360000000001,303.408,59.412,87.60296497671185,26.592018634313643
120,S4,no_TTI,0.1,1.4726545335751864,5.266548463356974,0.0,0.0,0.0,847.0079999999999,106.932,53.76,23.27122235028942,-6.52811138479592e-17
121,S4,no_TTI,0.1,1.7269651474149614,5.518230723251643,0.0,0.0,0.0,851.2320000000001,110.784,53.208,22.905447700497206,2.1316282072803006e-17
122,S4,no_TTI,0.2,2.465286482706635,8.644087938205585,0.0,0.0,0.0,826.224,174.57600000000002,89.46000000000001,35.327074195256806,1.3322676295501878e-17
123,S4,no_TTI,0.2,2.493340880893269,7.58244365361803,0.0,0.0,0.0,832.032,153.408,70.452,32.51072729776737,9.325873406851316e-18
124,S4,no_TTI,0.3,3.4349603045111645,11.46731826511912,0.0,0.0,0.0,833.376,225.264,111.084,46.70363977818272,-9.725553695716371e-17
125,S4,no_TTI,0.3,3.2639614732890445,9.8790273556231,0.0,0.0,0.0,839.592,195.012,88.668,41.913400517274304,-8.260059303211165e-17
126,S4,no_TTI,0.4,4.386967571643526,13.380592678675189,0.0,0.0,0.0,851.904,276.336,129.804,55.932345710417906,-1.1191048088221578e-16
127,S4,no_TTI,0.4,4.109884882920178,13.125970149253732,0.0,0.0,0.0,841.92,263.832,122.892,58.331313853304465,3.8635761256955445e-17
128,S4,no_TTI,0.5,4.888463887732751,16.113526570048307,0.0,0.0,0.0,829.896,320.208,158.364,64.7004456229748,1.2789769243681802e-16
129,S4,no_TTI,0.5,5.210467144773095,16.680469715698393,0.0,0.0,0.0,814.992,323.868,160.71599999999998,61.985569917085606,1.865174681370263e-17
130,S4,symptom_based_TTI,0.1,1.3113828785003219,5.475776397515528,962.6759999999999,134.232,91.092,3375.888,105.792,50.831999999999994,23.071655715452547,6.552427071921257
131,S4,symptom_based_TTI,0.1,1.2241317510128562,4.918417799752781,910.98,127.452,89.136,3187.584,95.496,45.96,19.977377067231437,5.790880855102956
132,S4,symptom_based_TTI,0.2,1.8887915026840814,8.016726403823178,947.0400000000001,129.18,89.49600000000001,3481.68,161.04000000000002,78.372,33.4858757072425,11.240080586839646
133,S4,symptom_based_TTI,0.2,1.9576099441623125,8.277978339350181,931.716,121.12800000000001,89.77199999999999,3523.7999999999997,165.096,78.384,35.70400460106131,11.965422672565504
134,S4,symptom_based_TTI,0.3,2.4762253774847194,10.077248038624019,917.0400000000001,123.16799999999999,89.676,3245.544,200.376,93.07199999999999,43.88661727947146,14.180117314622333
135,S4,symptom_based_TTI,0.3,2.3210573075672793,10.287322274881516,929.832,119.388,89.448,3352.9680000000003,208.38,101.136,45.07177826769514,15.156884910221995
136,S4,symptom_based_TTI,0.4,3.316297279469925,13.419206440483036,908.208,115.35600000000001,89.48400000000001,3407.904,280.03200000000004,134.04,55.932775441880345,20.85473293014128
137,S4,symptom_based_TTI,0.4,3.464349041137284,12.980975029726515,931.1999999999999,125.784,89.064,3310.0080000000003,262.008,119.42399999999999,53.32133406150202,19.338244892183056
138,S4,symptom_based_TTI,0.5,3.716071660933923,15.590493601462523,954.3,137.772,90.94800000000001,3269.448,307.008,147.276,64.33635596410173,22.21876088878746
139,S4,symptom_based_TTI,0.5,4.006422412729601,16.300993571011105,936.576,130.992,89.508,3379.8239999999996,334.692,158.256,68.46289620140209,25.71323882043366
140,S4,test_based_TTI,0.1,1.4231998384701678,5.243452380952381,89.256,9.756,89.03999999999999,1834.656,105.708,50.82,21.83212914781118,4.36416210863023
141,S4,test_based_TTI,0.1,1.41387631572591,5.36468551644547,97.248,12.251999999999999,88.96799999999999,1918.4160000000002,111.564,52.38,24.667685958446274,5.113342179717699
142,S4,test_based_TTI,0.2,2.118159983654885,8.066627358490566,104.604,15.36,89.148,2015.712,164.17200000000003,78.108,34.19928520089717,8.755922811758527
143,S4,test_based_TTI,0.2,2.0216712194898485,7.935735735735736,89.916,12.552,89.22,1842.0720000000001,158.55599999999998,77.832,31.853215194119933,8.477793840472781
144,S4,test_based_TTI,0.3,2.707229342824085,10.52274105518496,92.16,10.692,90.15599999999999,1866.48,208.22400000000002,98.952,44.60246702536684,11.09887873883013
145,S4,test_based_TTI,0.3,2.7588955169898415,10.635866261398176,98.652,13.596,89.532,1928.4959999999999,209.952,101.91600000000001,41.619378138176565,11.956024356443917
146,S4,test_based_TTI,0.4,3.621818336377794,13.161479741632414,90.924,13.98,89.52,1865.496,268.968,125.91599999999998,54.30011872127812,14.736401756505288
147,S4,test_based_TTI,0.4,3.4946426060386404,13.610489098408957,108.468,14.736,89.004,2033.544,277.164,132.744,56.70512743532867,16.54997053530036
148,S4,test_based_TTI,0.5,4.209662340672317,16.440687679083094,99.168,14.328000000000001,88.692,1962.12,344.26800000000003,166.44,69.92703303549226,19.750637550829413
149,S4,test_based_TTI,0.5,4.32372146573061,15.979166666666666,99.252,15.372,89.364,1947.3359999999998,322.14,152.832,62.75168671959724,19.390088531273683
