,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
104,S2,symptom_based_TTI,6,1.3489233444508073,3.715239829993928,1477.452,242.61599999999999,89.11200000000001,4841.664,73.428,14.844000000000001,25.282325166989974,6.641553853284278
105,S2,symptom_based_TTI,6,1.3649523392254976,3.9779735682819384,1509.66,212.7,90.924,4984.344,75.852,17.232,25.732536895480074,6.860551900168129
106,S2,symptom_based_TTI,8,1.5530840704003956,3.8788584740827026,1549.932,235.212,89.184,5069.256,79.92,16.716,24.055845989136465,7.148409824333744
107,S2,symptom_based_TTI,8,1.4686629762045937,3.905289052890529,1584.432,245.1,90.58800000000001,5055.84,76.2,15.792,25.21289285122237,6.538555157073588
108,S2,symptom_based_TTI,10,1.4551344318799495,3.6284848484848484,1531.728,250.99200000000002,89.78399999999999,5096.063999999999,71.844,11.495999999999999,24.293701468217776,7.242636780559232
109,S2,symptom_based_TTI,10,1.7400216997359734,4.085008615738081,1556.268,246.33599999999998,88.128,5176.968,85.34400000000001,16.608,25.16989591870271,7.21357073041332
110,S2,symptom_based_TTI,12,1.6712909964039577,3.867084997147747,1614.144,233.928,89.556,5305.32,81.348,11.748,26.77701907178041,7.665703527865889
111,S2,symptom_based_TTI,12,1.5597164807955795,3.854345165238678,1593.048,251.14800000000002,89.604,5037.336,75.57600000000001,13.908000000000001,24.13104995850184,6.95402928605843
112,S2,symptom_based_TTI,14,1.6848036493578726,3.938278931750742,1667.256,262.28400000000005,89.592,5309.256,79.63199999999999,12.336,26.10149459897497,7.127775611008839
113,S2,symptom_based_TTI,14,1.486037532526608,3.7370347773032337,1657.26,255.18,89.748,5134.896,73.5,10.944,27.181778030403706,6.146835779862981
114,S2,symptom_based_TTI,16,1.6462427309052707,3.879652605459057,1628.82,249.468,90.12,5260.296,75.048,9.12,26.673971296738497,7.409109316629941
115,S2,symptom_based_TTI,16,1.645729347444302,3.8846380223660977,1613.616,226.104,89.508,5274.504,79.2,11.88,26.38008192017998,7.386788144125598
