,strategy,gov_policy,work_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
122,S4,no_TTI,0.2,2.408884068101444,11.02694610778443,0.0,0.0,0.0,843.192,220.98,136.656,36.049963275247045,1.0658141036401503e-17
123,S4,no_TTI,0.2,3.185912403860031,11.236778846153847,0.0,0.0,0.0,827.76,224.37599999999998,123.42,37.33970111972293,-9.325873406851316e-18
124,S4,no_TTI,0.3,4.244681482792291,15.768292682926829,0.0,0.0,0.0,828.048,325.836,189.924,48.199901839580164,-1.199040866595169e-16
125,S4,no_TTI,0.3,4.0772688638352745,16.55693950177936,0.0,0.0,0.0,814.3199999999999,334.98,202.584,49.90469634688475,8.260059303211165e-17
126,S4,no_TTI,0.4,5.2708906260099075,20.965331739390315,0.0,0.0,0.0,834.744,420.9,246.57600000000002,68.50559979222517,-8.65973959207622e-17
127,S4,no_TTI,0.4,5.246638735940694,20.754039497307,0.0,0.0,0.0,824.0640000000001,416.15999999999997,251.42400000000004,59.53040006691724,-5.195843755245732e-17
128,S4,no_TTI,0.5,6.287259882128557,27.219053398058254,0.0,0.0,0.0,809.928,538.284,333.912,80.0351485710257,-4.5297099404706384e-17
129,S4,no_TTI,0.5,5.996234293809332,23.39873417721519,0.0,0.0,0.0,823.0559999999999,488.004,288.204,74.74253756831254,-1.425526363618701e-16
130,S4,symptom_based_TTI,0.1,1.2437783620687284,6.404411764705882,897.648,122.928,89.316,3186.24,125.42399999999999,71.388,23.674193103266784,6.003651453979248
131,S4,symptom_based_TTI,0.1,1.195351689416032,5.961380924517262,922.9799999999999,132.144,88.92,3317.016,122.25599999999999,68.676,22.69630846726009,6.369419086195949
132,S4,symptom_based_TTI,0.2,2.219686352099256,10.658129839189995,938.136,125.172,89.52,3329.52,214.74,121.428,36.67743991783919,11.912319460064982
133,S4,symptom_based_TTI,0.2,1.9866058683831087,11.527472527472527,887.736,123.96,88.60799999999999,3152.7599999999998,226.584,144.672,33.86079118906176,9.002483861999838
134,S4,symptom_based_TTI,0.3,2.9170528472914024,14.461167971101746,976.5120000000001,135.864,89.77199999999999,3325.656,288.24,172.752,42.921494680511785,14.423807967275996
135,S4,symptom_based_TTI,0.3,3.399289005243278,16.06385341476957,914.5680000000001,133.764,88.464,3361.248,347.172,207.20399999999998,51.11902458873696,15.383541429945343
136,S4,symptom_based_TTI,0.4,4.294716854050812,20.26764705882353,914.0999999999999,135.252,89.004,3215.232,413.46,247.79999999999998,58.623366446666886,19.42440973069655
137,S4,symptom_based_TTI,0.4,3.9739382997361967,20.312574850299402,942.0,126.13199999999999,88.944,3380.16,407.06399999999996,240.156,66.49727638769747,20.773000085589214
138,S4,symptom_based_TTI,0.5,3.9911260589206994,23.88111044055522,955.7280000000001,137.256,90.048,3300.888,474.85200000000003,309.552,64.75229872457724,21.188150719843613
139,S4,symptom_based_TTI,0.5,4.932780246890712,25.594862813777,953.736,133.152,88.572,3478.4159999999997,526.128,310.488,84.26137212347122,29.98039712144332
140,S4,test_based_TTI,0.1,1.462789321079338,6.350247524752476,99.024,14.004,89.7,1940.64,123.144,66.61200000000001,23.450854943573617,4.714734542055867
141,S4,test_based_TTI,0.1,1.4738190623674075,6.82388787324802,98.244,12.456,89.592,1949.4959999999999,134.37599999999998,76.332,23.77356547360747,5.2479895502535365
142,S4,test_based_TTI,0.2,2.2692368987071925,10.846662657847263,89.964,12.348,88.76400000000001,1821.864,216.45600000000002,134.844,29.23375205155603,7.093356397843187
143,S4,test_based_TTI,0.2,2.389160496589455,11.050898203592814,106.68,12.912,89.232,2030.9520000000002,221.45999999999998,131.232,33.701678367978914,8.647545280368352
144,S4,test_based_TTI,0.3,2.7945428430795776,15.370480142264375,101.676,17.172,90.552,2028.36,311.15999999999997,195.6,46.531523813841815,12.455750870855207
145,S4,test_based_TTI,0.3,2.910426815561797,14.5055329062318,88.908,13.788,89.316,1860.12,298.872,184.524,44.689380978365634,9.692184913799084
146,S4,test_based_TTI,0.4,4.440944310904169,20.373015873015873,93.94800000000001,12.42,90.288,1905.12,400.452,247.728,51.566498820228475,13.866299804639239
147,S4,test_based_TTI,0.4,4.013269462259274,20.27517985611511,87.948,10.776,89.77199999999999,1824.72,405.828,249.79199999999997,62.67295122201662,13.033447221401756
148,S4,test_based_TTI,0.5,4.802722952460287,24.753287413901063,93.96000000000001,12.216000000000001,89.32799999999999,1864.512,474.372,291.888,71.95993898053275,18.484678358518348
149,S4,test_based_TTI,0.5,4.631832177995187,25.632850241545892,112.452,14.712,90.0,2102.88,509.376,313.668,81.60083251035897,22.063398448520722
150,S4,test_based_TTI_test_contacts,0.1,1.4362886864543212,6.2779827798277985,103.692,15.407999999999998,169.932,987.9359999999999,122.496,64.728,24.158539902692254,5.5845952472110065
151,S4,test_based_TTI_test_contacts,0.1,1.5578012478801,6.59552599758162,98.52,12.396,165.216,984.8400000000001,130.908,69.99600000000001,24.508710018059457,5.4840508140162925
152,S4,test_based_TTI_test_contacts,0.2,2.602631629505343,12.099273607748184,107.304,13.524,168.98399999999998,1017.24,239.856,136.00799999999998,43.32199141493271,8.931439161753293
153,S4,test_based_TTI_test_contacts,0.2,2.321086822029209,11.409145607701564,111.24000000000001,13.32,171.33599999999998,990.336,227.544,138.492,33.96230680218718,8.79793761926217
154,S4,test_based_TTI_test_contacts,0.3,3.2042899186609186,15.639315230224321,102.312,16.860000000000003,162.84,1006.152,317.91600000000005,197.124,42.96039337654734,12.694801156913522
155,S4,test_based_TTI_test_contacts,0.3,3.3064112864543107,15.841087613293052,102.552,12.816,162.888,981.504,314.60400000000004,188.412,48.15104497360832,12.375626877409056
156,S4,test_based_TTI_test_contacts,0.4,4.223442888464158,20.70201096892139,93.708,14.592,154.452,996.24,407.66400000000004,253.128,57.06643362691733,14.301529013446467
157,S4,test_based_TTI_test_contacts,0.4,4.020308821582519,21.446296296296296,94.944,16.908,155.892,983.76,416.916,271.896,52.72083334629523,14.144363162140648
158,S4,test_based_TTI_test_contacts,0.5,4.837648911534359,26.22105911330049,107.52,12.995999999999999,156.46800000000002,984.0240000000001,510.99600000000004,317.82,77.04643487579055,21.853463136227905
159,S4,test_based_TTI_test_contacts,0.5,4.485049561405121,25.11873840445269,99.288,14.628,154.212,975.2400000000001,487.404,298.848,82.63027333123487,18.89782497926022
160,S5,no_TTI,0.1,1.2306189601727806,6.449214026602177,0.0,0.0,0.0,795.8879999999999,128.004,85.608,17.970674878490648,3.9968028886505634e-17
161,S5,no_TTI,0.1,1.0841548930868083,6.465712581991652,0.0,0.0,0.0,840.672,130.116,92.028,16.270466931521067,-1.865174681370263e-17
162,S5,no_TTI,0.2,2.2636796139892854,11.562017804154303,0.0,0.0,0.0,829.056,233.784,156.816,31.196398205136646,9.325873406851316e-18
163,S5,no_TTI,0.2,2.088923365861027,10.838337182448036,0.0,0.0,0.0,821.04,225.264,153.98399999999998,27.863816763944385,-8.260059303211165e-17
164,S5,no_TTI,0.3,2.9164486136808847,15.8859543817527,0.0,0.0,0.0,824.5680000000001,317.592,224.17200000000003,35.11435931529179,-7.993605777301126e-18
165,S5,no_TTI,0.3,2.434806582439735,15.482985074626866,0.0,0.0,0.0,849.6,311.20799999999997,226.79999999999998,35.4683876929613,1.3322676295501879e-18
