,strategy,gov_policy,compliance,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
83,S3,no_TTI,0.6,1.453550895417001,3.268595041322314,0.0,0.0,0.0,555.4319999999999,66.444,23.567999999999998,13.32821739796319,-5.3290705182007515e-18
84,S3,no_TTI,0.7,1.2225750576259977,3.1426003594967047,0.0,0.0,0.0,712.4639999999999,62.94,22.92,15.53426674586652,1.9984014443252817e-17
85,S3,no_TTI,0.7,1.4428234104266522,3.342925659472422,0.0,0.0,0.0,695.448,66.91199999999999,21.156000000000002,16.876446616900125,2.6645352591003758e-18
86,S3,no_TTI,0.8,1.1939526695555738,3.0826699326393143,0.0,0.0,0.0,873.7199999999999,60.407999999999994,20.448,16.563303487388975,-9.325873406851316e-18
87,S3,no_TTI,0.8,1.2218597696171356,3.0966435185185186,0.0,0.0,0.0,848.064,64.212,21.804,17.07151581721907,2.2648549702353192e-17
88,S3,no_TTI,0.9,1.0816277084561878,3.2134831460674156,0.0,0.0,0.0,1088.472,65.208,23.22,20.039610540007036,1.9984014443252817e-17
89,S3,no_TTI,0.9,1.1057419981667194,3.3139810426540284,0.0,0.0,0.0,1084.752,67.128,22.68,22.050090085134933,-2.9309887850104134e-17
90,S3,symptom_based_TTI,0.5,1.3959555517562356,3.2303571428571427,606.456,81.564,55.524,1391.328,65.124,24.552,10.66878165426671,1.7607544223275817
91,S3,symptom_based_TTI,0.5,1.4451986237733419,3.140330188679245,600.06,91.03200000000001,56.256,1450.536,63.91199999999999,22.451999999999998,10.166479292618446,1.8808383163464995
92,S3,symptom_based_TTI,0.6,1.3364208400405004,3.0787878787878786,754.452,105.87599999999999,68.292,2102.616,60.96,19.548,12.421514221105308,2.5293531460927894
93,S3,symptom_based_TTI,0.6,1.5228214633157842,3.3266391021854695,736.752,92.82,66.708,1984.6800000000003,67.584,22.32,12.059404192484115,2.2669549587924047
94,S3,symptom_based_TTI,0.7,1.1610139075305814,3.1625502584721423,918.456,130.824,78.504,2985.864,66.072,20.796,17.000826826772972,4.019270617098133
95,S3,symptom_based_TTI,0.7,1.1674136704202185,3.124418604651163,863.64,112.65599999999999,78.708,2749.56,64.488,21.792,14.91398925889268,3.686592583634019
96,S3,symptom_based_TTI,0.8,0.89341600771414,3.0752753977968177,988.1999999999999,130.236,90.708,3460.728,60.3,19.308,19.434514512164146,4.039384408577005
97,S3,symptom_based_TTI,0.8,1.0908501159683777,3.3057901085645356,972.432,136.26,89.508,3380.232,65.772,20.939999999999998,19.105443352549713,4.023002740143454
98,S3,symptom_based_TTI,0.9,0.7803602893371726,3.2842166569598135,1141.6080000000002,152.016,100.692,4564.032,67.66799999999999,23.736,22.12777124804675,5.725685350450156
99,S3,symptom_based_TTI,0.9,0.8246783285730002,3.141904184354154,1104.42,155.43599999999998,100.92,4288.008000000001,62.172,21.72,19.078258816948605,5.055006417248887
100,S3,test_based_TTI,0.5,1.5103303428953456,3.035820895522388,64.776,7.74,55.848,880.248,61.019999999999996,18.732,10.869329045221146,1.0610310625823922
101,S3,test_based_TTI,0.5,1.6051915907769967,3.2504451038575666,70.34400000000001,11.04,56.088,902.0400000000001,65.72399999999999,21.323999999999998,10.68085736145594,1.2621686730331516
102,S3,test_based_TTI,0.6,1.4190156042713848,3.1814814814814816,70.74000000000001,8.832,67.488,1136.7359999999999,61.848,21.875999999999998,10.856693585980098,1.5296430669841827
103,S3,test_based_TTI,0.6,1.338230438340637,3.1765060240963856,71.868,12.636000000000001,67.164,1181.9279999999999,63.275999999999996,21.132,13.816619032563999,1.6698306356905093
104,S3,test_based_TTI,0.7,1.1251031689132494,3.257125890736342,93.89999999999999,10.272,78.984,1634.328,65.82,25.296,15.38114974061452,2.4067654219865635
105,S3,test_based_TTI,0.7,1.160064679765704,3.176506765067651,92.544,17.003999999999998,78.864,1640.232,61.98,19.560000000000002,16.844056347786477,2.9407616206251355
106,S3,test_based_TTI,0.8,1.0141151270738498,3.2649164677804294,106.644,15.72,89.4,2124.6240000000003,65.664,22.764,18.915914031371862,3.5882025329188916
107,S3,test_based_TTI,0.8,1.0026132324044204,3.2667855020796197,112.28399999999999,14.724,89.712,2170.464,65.976,23.892,18.297950922491218,3.537272235869122
108,S3,test_based_TTI,0.9,0.8508034577086747,3.0184414039262344,116.952,15.036,100.284,2530.1279999999997,60.888,20.676000000000002,19.169161987551306,3.8804306635493204
109,S3,test_based_TTI,0.9,0.8451969041646257,3.013633669235329,130.56,14.556000000000001,100.896,2723.616,61.007999999999996,18.384,21.14346220732722,4.370371664764116
110,S3,test_based_TTI_test_contacts,0.5,1.5010039223947231,3.163241338813858,67.8,11.796,89.448,483.024,64.64399999999999,22.176,10.390443635249126,1.4030402066923209
111,S3,test_based_TTI_test_contacts,0.5,1.5094503973764268,3.1540697674418605,68.208,11.388,90.372,486.33600000000007,65.1,22.572,9.929312857801328,1.4436309403492085
112,S3,test_based_TTI_test_contacts,0.6,1.202565199356569,2.9463126843657816,80.412,11.196,115.56,652.8960000000001,59.928000000000004,20.028,13.36800185078074,2.0718219943066654
113,S3,test_based_TTI_test_contacts,0.6,1.3621171747955778,3.061392405063291,81.372,8.712,115.908,626.088,58.044000000000004,18.816,11.50949895114065,1.8927594147351898
114,S3,test_based_TTI_test_contacts,0.7,1.1500268568800438,3.2087719298245614,110.676,15.600000000000001,154.812,875.4,65.844,22.236,17.096725219739547,2.9127236770819764
115,S3,test_based_TTI_test_contacts,0.7,1.177333806013186,3.1756440281030445,87.048,13.764,138.48,830.3760000000001,65.088,22.956,15.721797398165894,2.2795689137878727
116,S3,test_based_TTI_test_contacts,0.8,1.0585402836403985,3.1958944281524926,106.188,13.032,172.404,1045.512,65.388,22.092000000000002,18.446046439484444,3.192219357233009
117,S3,test_based_TTI_test_contacts,0.8,1.004138566953526,3.2048054919908466,111.864,12.36,175.30800000000002,1101.072,67.224,22.368000000000002,20.502624617805132,3.2905648017777254
118,S3,test_based_TTI_test_contacts,0.9,0.8879589119940882,3.0933014354066986,116.364,19.2,203.376,1271.52,62.064,20.748,19.284878083242532,4.215114306508114
119,S3,test_based_TTI_test_contacts,0.9,0.8382207410033373,3.0432432432432432,106.488,12.816,194.61599999999999,1253.9759999999999,60.804,20.843999999999998,19.640930015376707,3.571419579376642
120,S4,no_TTI,0.5,0.6961030194231556,3.022616136919315,0.0,0.0,0.0,393.62399999999997,59.339999999999996,41.052,4.6221055226846115,1.199040866595169e-17
121,S4,no_TTI,0.5,0.7333656994869827,3.1547619047619047,0.0,0.0,0.0,411.576,63.6,44.04,4.775347498342433,-6.661338147750939e-18
122,S4,no_TTI,0.6,0.6326470959357869,3.1170336037079953,0.0,0.0,0.0,567.5519999999999,64.56,44.244,7.212613348977984,0.0
123,S4,no_TTI,0.6,0.6252573003823796,3.146135265700483,0.0,0.0,0.0,543.6,62.52,43.608,6.4868869268013505,7.993605777301126e-18
124,S4,no_TTI,0.7,0.5638245736376,3.2110091743119265,0.0,0.0,0.0,718.6560000000001,67.2,46.812,8.58827932291231,3.996802888650563e-18
125,S4,no_TTI,0.7,0.5939792065729915,3.1705705705705705,0.0,0.0,0.0,703.5360000000001,63.348000000000006,43.356,8.124295452671632,1.9984014443252817e-17
126,S4,no_TTI,0.8,0.5154290034038438,3.3520286396181382,0.0,0.0,0.0,900.768,67.416,47.244,9.805691883541893,2.2648549702353192e-17
127,S4,no_TTI,0.8,0.5134608306895662,3.1132425742574257,0.0,0.0,0.0,852.816,60.372,41.268,9.146967571267933,-3.996802888650563e-18
128,S4,no_TTI,0.9,0.41251426758638104,2.9976033553025765,0.0,0.0,0.0,1067.8799999999999,60.035999999999994,40.86,10.914164248779961,1.4654943925052067e-17
129,S4,no_TTI,0.9,0.41523696434930896,3.188360450563204,0.0,0.0,0.0,1040.472,61.13999999999999,42.204,10.973415971637646,0.0
130,S4,symptom_based_TTI,0.5,0.7046730831944406,3.2487864077669903,153.996,18.0,55.644,674.352,64.248,44.616,5.266654583228997,0.42973052351775115
131,S4,symptom_based_TTI,0.5,0.7176513710003518,3.2523696682464456,167.676,20.172,56.904,675.36,65.88000000000001,46.008,4.909699961432761,0.4255538675841244
132,S4,symptom_based_TTI,0.6,0.5841349829955199,3.2978075517661387,189.444,23.136,66.99600000000001,925.0799999999999,64.98,46.092,6.717081191578475,0.6611231034778073
133,S4,symptom_based_TTI,0.6,0.6554180827711823,3.151906916612799,194.208,25.224,68.628,905.1120000000001,58.512,39.827999999999996,6.064897858133496,0.45192085330227977
134,S4,symptom_based_TTI,0.7,0.5328933998501555,3.4418037781840343,233.904,29.052,79.236,1228.8,67.776,48.168,8.120790840847835,0.993472329302905
135,S4,symptom_based_TTI,0.7,0.53994218808754,3.3866498740554154,219.0,27.072,77.84400000000001,1200.816,64.53599999999999,45.396,8.045420054592899,0.8054416092109427
136,S4,symptom_based_TTI,0.8,0.4393506298110517,3.004810583283223,253.824,30.624,89.724,1541.1119999999999,59.964,40.692,9.471435068205695,1.0328837632849586
137,S4,symptom_based_TTI,0.8,0.44635721743571605,3.175014731879788,260.43600000000004,31.115999999999996,88.872,1524.456,64.65599999999999,45.192,9.206192111606098,1.1681895125329864
138,S4,symptom_based_TTI,0.9,0.39097584264869223,3.084253341080767,286.176,33.839999999999996,100.452,1940.52,63.696000000000005,42.984,11.10980775758063,1.5277591400385793
139,S4,symptom_based_TTI,0.9,0.3981197158683213,3.23874151758174,304.236,37.176,100.692,1914.528,63.0,43.296,10.514914168110195,1.4448611188192146
140,S4,test_based_TTI,0.5,0.7147135146627979,3.243436754176611,16.536,2.28,55.488,514.6080000000001,65.232,44.916000000000004,5.617959261233095,0.3237225318687266
141,S4,test_based_TTI,0.5,0.680880195745294,2.975680370584829,19.272,2.352,55.967999999999996,543.24,61.668000000000006,42.048,5.15100127820251,0.35843754517202325
142,S4,test_based_TTI,0.6,0.6407979771153343,3.0933087783916515,23.556,2.1599999999999997,68.184,730.4879999999999,60.468,41.208,6.291865425857832,0.4418157174916203
143,S4,test_based_TTI,0.6,0.668588382996242,3.104228707564026,23.34,2.8080000000000003,67.30799999999999,753.096,62.544,41.916,6.563529410082791,0.5937518493089307
144,S4,test_based_TTI,0.7,0.5352992951621948,3.2201334141904185,23.976,2.94,77.736,935.904,63.720000000000006,44.964,7.528619607051598,0.6348779402789012
145,S4,test_based_TTI,0.7,0.5431864533355167,3.0414833438089253,21.804,2.556,77.94,888.84,58.068,39.612,7.566995290349617,0.5184889425687035
