,strategy,gov_policy,age_prob,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
134,S4,symptom_based_TTI,0.5,0.8011214765067816,3.566706730769231,670.884,97.18799999999999,89.12400000000001,2622.336,71.22,38.652,13.824482043197808,2.746724313914777
135,S4,symptom_based_TTI,0.5,0.7406713376633076,3.542372881355932,703.728,92.772,89.41199999999999,2913.456,72.732,39.576,14.124292298918604,3.824243796178377
136,S4,symptom_based_TTI,0.75,0.5828174045429783,3.3526187576126674,493.188,68.412,89.83200000000001,2176.824,66.06,40.68,12.025688955614138,1.8704769052710195
137,S4,symptom_based_TTI,0.75,0.5849146472834796,3.3720238095238093,462.228,57.228,89.03999999999999,2101.8,67.98,42.516,11.490215230230834,2.1819054805342213
138,S4,symptom_based_TTI,1.0,0.4215407082952803,3.1792114695340503,261.82800000000003,29.94,89.34,1540.632,63.864000000000004,45.552,8.887974800707012,0.9561154510573993
139,S4,symptom_based_TTI,1.0,0.47847653020269915,3.074984634296251,256.836,31.68,89.82000000000001,1525.776,60.035999999999994,40.668,8.937853893897156,1.0883703304253478
140,S4,test_based_TTI,0.0,1.0720391216274614,4.013414634146342,107.628,11.508,89.208,2023.0559999999998,78.984,36.156,18.31304596554992,3.417224120821662
141,S4,test_based_TTI,0.0,1.007894387499975,4.032736256948734,98.124,13.991999999999999,88.728,1907.3039999999999,78.348,37.236000000000004,18.194928848744993,3.3356989909055117
142,S4,test_based_TTI,0.25,0.9816122671518759,3.835351089588378,101.604,12.528,89.712,1994.5440000000003,76.03200000000001,36.144000000000005,17.464900210899053,2.9636182050821716
143,S4,test_based_TTI,0.25,0.9317690385023577,3.936632468316234,89.256,11.592,89.304,1833.3600000000001,78.276,40.308,16.589366367382446,2.8513380710366865
144,S4,test_based_TTI,0.5,0.806296236456673,3.4900249376558605,66.66,9.204,89.892,1594.944,67.176,37.08,12.467080945270915,2.109329095411047
145,S4,test_based_TTI,0.5,0.7238624606347108,3.673357664233577,70.83600000000001,10.847999999999999,88.884,1621.752,72.468,41.232,14.42773402623191,2.5279073503665317
146,S4,test_based_TTI,0.75,0.652211922039447,3.4855247285886612,46.5,5.952,89.028,1386.1200000000001,69.348,42.912,11.676242354791041,1.7833492443121297
147,S4,test_based_TTI,0.75,0.6228624638424041,3.3921319796954315,46.355999999999995,4.92,89.664,1352.808,64.152,38.94,12.127266433763511,1.3051586500489436
148,S4,test_based_TTI,1.0,0.49556133863860125,3.351145038167939,31.355999999999998,3.156,89.4,1232.064,68.484,47.832,9.564544724499925,0.9601637590816309
149,S4,test_based_TTI,1.0,0.5074988770198605,3.2610489098408957,28.080000000000002,3.564,89.34,1177.944,66.408,46.164,9.102577701951798,0.806715166415769
150,S4,test_based_TTI_test_contacts,0.0,1.208214016993776,4.035649546827795,106.60799999999999,14.171999999999999,173.424,970.488,80.14800000000001,36.78,16.08053955249463,3.292330070009007
151,S4,test_based_TTI_test_contacts,0.0,1.1692589260665047,4.151032448377581,137.88,19.956,197.79600000000002,1019.712,84.432,35.952,20.13616253496202,4.561110908845294
152,S4,test_based_TTI_test_contacts,0.25,0.9604833067991227,3.8022498519834222,93.276,10.764,162.804,964.2,77.064,40.116,14.855926718079102,2.624997619716297
153,S4,test_based_TTI_test_contacts,0.25,0.9689166066941687,3.9892537313432834,104.568,12.888,171.744,1009.776,80.184,40.308,17.20150154924035,3.1992746562068852
154,S4,test_based_TTI_test_contacts,0.5,0.7989354105628492,3.5683156654888104,74.736,9.395999999999999,147.51600000000002,954.0,72.708,40.092,14.013185544674256,2.323706529697145
155,S4,test_based_TTI_test_contacts,0.5,0.8563646491169434,3.6772265391512255,72.552,9.084,146.364,962.136,73.824,40.955999999999996,13.113035609678782,2.5625876946494657
156,S4,test_based_TTI_test_contacts,0.75,0.5971244084362124,3.3687648456057007,56.076,4.476,133.23600000000002,968.88,68.07600000000001,42.888,11.230539139258791,1.8907708150622395
157,S4,test_based_TTI_test_contacts,0.75,0.5941638186229229,3.283158544108575,52.152,7.0440000000000005,131.256,955.1279999999999,63.864000000000004,38.76,11.812035473239272,1.7342899269076388
158,S4,test_based_TTI_test_contacts,1.0,0.46287163716359203,2.927604473219541,25.092000000000002,2.8560000000000003,109.224,912.9599999999999,59.688,40.440000000000005,9.053801881074607,0.7571711804340863
159,S4,test_based_TTI_test_contacts,1.0,0.4950424702737468,3.0706095353047678,27.42,3.336,110.52000000000001,934.368,61.056000000000004,41.1,9.241319979231076,0.8712555418457493
160,S5,no_TTI,0.0,0.9224321944843346,4.210268948655257,0.0,0.0,0.0,812.16,82.65599999999999,50.448,14.098811157883546,3.3306690738754695e-17
161,S5,no_TTI,0.0,0.8664753361334459,4.3528700906344415,0.0,0.0,0.0,811.968,86.44800000000001,55.344,13.895799824389764,-9.325873406851316e-18
