,strategy,gov_policy,wfh,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
111,S3,test_based_TTI_test_contacts,0.0,1.7616352523151608,3.880858784396734,192.564,28.68,241.98000000000002,1137.5040000000001,77.004,8.088000000000001,27.67832191507422,6.28331140848841
112,S3,test_based_TTI_test_contacts,0.25,1.5007887295550895,3.839378238341969,161.394,23.544,216.342,1068.468,75.58200000000001,16.854,24.039108044385586,5.14436502559289
113,S3,test_based_TTI_test_contacts,0.25,1.5094638277911006,4.011134517002708,177.51,25.986,230.034,1118.328,79.974,18.564,26.009526329740677,5.304783871760384
114,S3,test_based_TTI_test_contacts,0.5,1.3546807735939745,3.7705365262200665,135.756,20.946,197.07600000000002,1043.424,74.634,22.848000000000003,20.701217426596624,4.270231340884213
115,S3,test_based_TTI_test_contacts,0.5,1.3508486773402548,3.91227553723874,141.67200000000003,19.008000000000003,201.366,1059.9959999999999,79.74,26.304000000000002,21.426856419475662,4.476145838975237
116,S3,test_based_TTI_test_contacts,0.75,1.0693878421343337,3.8959976628688286,112.69200000000001,14.85,177.642,1024.548,80.01599999999999,35.562,18.95374514029352,3.5371673579514695
117,S3,test_based_TTI_test_contacts,0.75,1.0609968595284067,3.7229891956782715,106.014,14.334,173.646,993.1560000000001,74.42999999999999,33.444,16.44015637991817,3.334394404389848
118,S3,test_based_TTI_test_contacts,1.0,0.9183202872573917,4.035400907715583,86.352,12.767999999999999,156.924,975.72,80.022,43.614,15.670241725332273,2.52746697835363
119,S3,test_based_TTI_test_contacts,1.0,0.8287665782091553,3.8021739130434784,78.69600000000001,9.606,151.32,930.1320000000001,73.458,41.574,13.483179544171751,2.3890501648273514
120,S4,no_TTI,0.0,1.7825826166941339,3.9723203769140163,0.0,0.0,0.0,826.272,80.94,19.44,25.178096602240355,7.327471962526034e-18
121,S4,no_TTI,0.0,1.6831231637129385,3.975103734439834,0.0,0.0,0.0,835.188,80.472,20.802,25.596854673795292,2.398081733190338e-17
122,S4,no_TTI,0.25,1.5138645645857352,3.892176970407266,0.0,0.0,0.0,837.576,79.70400000000001,27.456,21.247081446413322,4.662936703425658e-18
123,S4,no_TTI,0.25,1.4775582693724376,3.8331261653200746,0.0,0.0,0.0,813.396,74.01,25.926,19.555304934956983,7.993605777301126e-18
124,S4,no_TTI,0.5,1.2326087783641146,4.001844451275746,0.0,0.0,0.0,822.4559999999999,78.108,37.26,16.789941863889208,1.3988810110276973e-17
125,S4,no_TTI,0.5,1.1898744657126425,3.853902798232695,0.0,0.0,0.0,817.44,78.504,36.936,17.330257133433463,-9.992007221626408e-18
126,S4,no_TTI,0.75,0.9177977565632328,4.034327009936766,0.0,0.0,0.0,826.6320000000001,80.388,47.495999999999995,14.603961902721016,-4.662936703425658e-18
127,S4,no_TTI,0.75,0.926342468826438,3.841208133971292,0.0,0.0,0.0,826.692,77.07,44.244,14.23986470546635,1.1324274851176596e-17
128,S4,no_TTI,1.0,0.661882931163349,3.7378176382660686,0.0,0.0,0.0,821.208,75.018,50.934,10.800009571551577,7.993605777301126e-18
129,S4,no_TTI,1.0,0.6496695840965546,3.8423997513211066,0.0,0.0,0.0,807.36,74.166,51.09,10.536077687768302,-2.1316282072803006e-17
130,S4,symptom_based_TTI,0.0,1.3739295024761493,3.879352474037874,1456.992,205.88400000000001,89.064,4644.107999999999,76.206,19.704,23.504605004780807,6.007923848577667
131,S4,symptom_based_TTI,0.0,1.3115998151088255,3.7623493975903615,1412.814,208.536,89.442,4693.26,74.94600000000001,18.75,23.761679431792793,6.307252251239345
132,S4,symptom_based_TTI,0.25,1.149795653782508,3.8541919805589306,1201.056,169.638,89.46000000000001,4016.7,76.128,28.206,20.38186454266144,4.829371703826429
133,S4,symptom_based_TTI,0.25,1.28338664369086,3.966465256797583,1243.44,173.178,89.952,4150.632,78.774,29.034,18.63026163174595,5.621679624553533
134,S4,symptom_based_TTI,0.5,1.0165108964785223,3.9758823529411766,994.4580000000001,144.93,89.94000000000001,3502.908,81.10799999999999,38.388000000000005,17.825734561844964,4.157443149993147
135,S4,symptom_based_TTI,0.5,0.9674750110808396,4.011846901579587,1008.216,139.254,89.83800000000001,3520.596,79.242,37.422000000000004,18.402163670062333,4.308269911068914
136,S4,symptom_based_TTI,0.75,0.7638434281954355,3.8756567425569175,736.242,99.792,89.208,2813.3039999999996,79.668,46.74,13.950885842794708,3.275548647219905
137,S4,symptom_based_TTI,0.75,0.7511882294727766,3.922680412371134,722.61,93.744,90.132,2731.572,77.622,46.26,13.545781032256432,2.9517062829362604
138,S4,symptom_based_TTI,1.0,0.5847657520243932,3.825248568846038,482.17199999999997,58.446,90.03,2100.216,76.176,51.6,10.971234839721063,1.9597399744651762
139,S4,symptom_based_TTI,1.0,0.5769182734346784,3.857654431512981,481.662,58.446,89.514,2062.944,77.562,53.394,10.788075862588235,1.7804053317341253
140,S4,test_based_TTI,0.0,1.4038311965573749,3.7563496751329,163.866,24.389999999999997,89.256,2694.564,76.31400000000001,18.785999999999998,24.06193865344995,4.945826757290387
141,S4,test_based_TTI,0.0,1.5256342119846218,3.9346914319952067,146.568,21.72,89.166,2500.104,78.80399999999999,20.183999999999997,23.58605430715132,4.4785436952206705
142,S4,test_based_TTI,0.25,1.3174283357752334,3.950432965064198,134.61599999999999,23.37,89.292,2343.852,79.38,27.198,21.386619659623832,4.3229753613086
143,S4,test_based_TTI,0.25,1.1823579181006498,3.782201405152225,132.24,19.008000000000003,89.388,2341.5119999999997,77.52,28.65,20.696525903234175,3.9398662073748203
144,S4,test_based_TTI,0.5,1.0636219141507826,3.937725631768953,108.414,15.684000000000001,89.292,2060.136,78.53399999999999,35.43,18.407745415945403,3.4833791282313324
145,S4,test_based_TTI,0.5,1.0347981731584728,3.9600827912477823,104.184,16.02,90.36,2018.1480000000001,80.35799999999999,37.818,18.200905841273403,3.3409696289947983
146,S4,test_based_TTI,0.75,0.8317479996195855,3.9600827912477823,80.55,11.67,90.36,1740.6960000000001,80.35799999999999,45.414,15.386905841273398,2.6792637504459527
147,S4,test_based_TTI,0.75,0.8110241191374751,4.016651528913109,74.382,9.918,89.80199999999999,1666.596,79.602,46.715999999999994,14.50381550582185,2.3093085011116585
148,S4,test_based_TTI,1.0,0.5810968340590104,3.8978622327790973,49.98,6.774,89.84400000000001,1390.0919999999999,78.768,54.36,11.27271724785426,1.392477929481264
149,S4,test_based_TTI,1.0,0.5703351815680775,3.8291770573566084,51.21,6.258,89.658,1373.688,73.704,50.748,10.573084410368242,1.4051040148094114
150,S4,test_based_TTI_test_contacts,0.0,1.4675853619094865,3.8443131462333824,161.106,21.33,216.804,1103.136,78.07799999999999,19.116,24.019162011427625,5.136179288190639
151,S4,test_based_TTI_test_contacts,0.0,1.5113001899069014,3.8299570288520566,151.926,23.184,209.754,1055.292,74.868,18.881999999999998,21.48877030548055,4.954333582219288
152,S4,test_based_TTI_test_contacts,0.25,1.1804211761657204,3.911158277744087,128.988,18.546,191.79,1032.156,77.394,29.088,20.658501700593863,4.289324065438809
153,S4,test_based_TTI_test_contacts,0.25,1.2062942650820996,3.9504681365146483,132.456,19.764000000000003,194.03400000000002,1037.664,78.48,29.34,20.750572034465783,4.425186095413154
